type,#,fr,zh
passage,,"Le flexitarisme est une tendance actuelle. On mange surtout des fruits, des légumes, des œufs et des produits laitiers, mais on ne s’interdit pas de manger un peu de viande de temps en temps. Beaucoup veulent diminuer la viande rouge pour la santé et pour la planète, car l’élevage intensif pollue.",弹性素食是一种当下趋势。人们主要吃水果、蔬菜、鸡蛋和乳制品，但不会禁止偶尔吃一点肉。许多人减少红肉摄入是为了健康与环境，因为集约化养殖会造成污染。
sentence,1,Le flexitarisme se développe.,弹性素食正在流行/发展。
sentence,2,C’est une tendance du moment.,这是当下的趋势。
sentence,3,On mange surtout des fruits et des légumes.,人们主要吃水果和蔬菜。
sentence,4,On mange aussi des œufs et des produits laitiers.,也会吃鸡蛋和乳制品。
sentence,5,On ne s’interdit pas un morceau de viande de temps en temps.,偶尔也不禁止吃一块肉。
sentence,6,Beaucoup veulent diminuer la viande rouge.,很多人想减少红肉。
sentence,7,L’excès n’est pas bon pour la santé.,过量对健康不好。
sentence,8,Ce n’est pas bon pour la planète non plus.,对地球环境也不好。
sentence,9,L’élevage intensif pollue.,集约化养殖会造成污染。
vocab,1,le flexitarisme,弹性素食
vocab,2,une tendance,趋势
vocab,3,le principe,原则
vocab,4,des fruits,水果
vocab,5,des légumes,蔬菜
vocab,6,des œufs,鸡蛋
vocab,7,des produits laitiers,乳制品
vocab,8,la viande,肉
vocab,9,la viande rouge,红肉
vocab,10,la santé,健康
vocab,11,la planète,地球；环境
vocab,12,l’élevage intensif,集约化养殖
vocab,13,la pollution,污染
vocab,14,manger,吃
vocab,15,se développer,发展；流行
vocab,16,s’interdire,禁止自己做
vocab,17,diminuer,减少
vocab,18,polluer,污染
