type,#,fr,zh
passage,,"En hiver, le vent souffle et siffle dans les arbres. Les chemins sont blancs de neige, les maisons sont chaleureuses et tout le monde se prépare pour les fêtes. On chante, on écoute les cloches, on partage de bons moments et on souhaite une bonne année.",冬天里，风在树间呼啸。道路被白雪覆盖，家里温暖，大家为节日做准备。我们唱歌、听铃声、一起度过美好时光，并互祝新年快乐。
sentence,1,Vive le vent d’hiver !,冬天的风万岁！（常见唱句）
sentence,2,Le vent siffle dans les branches.,风在树枝间呼啸。
sentence,3,La neige tombe doucement.,雪轻轻落下。
sentence,4,Les chemins sont tout blancs.,路都变得雪白。
sentence,5,On se réunit près du feu.,我们围坐在火炉旁。
sentence,6,"Dans chaque maison, il y a un air de fête.",每个家里都有节日气氛。
sentence,7,On entend des cloches dans la nuit.,夜里能听到铃声。
sentence,8,Joyeux Noël à tous !,祝大家圣诞快乐！
sentence,9,Bonne année !,新年快乐！
sentence,10,J’aime l’hiver.,我喜欢冬天。
vocab,1,le vent,风
vocab,2,l’hiver,冬天
vocab,3,la neige,雪
vocab,4,un chemin,道路；小路
vocab,5,un arbre,树
vocab,6,une branche,树枝
vocab,7,un sapin,杉树；圣诞树
vocab,8,un village,村庄
vocab,9,une maison,房子；家
vocab,10,un feu,火；火炉
vocab,11,une fête,节日；庆祝
vocab,12,une cloche,铃；钟
vocab,13,la nuit,夜晚
vocab,14,un air,气氛；旋律（语境）
vocab,15,une année,一年
vocab,16,souffler,吹（风）
vocab,17,siffler,呼啸；吹口哨
vocab,18,tomber,落下（雪/雨）
vocab,19,entendre,听见
vocab,20,chanter,唱歌
vocab,21,se réunir,聚在一起
vocab,22,souhaiter,祝愿
