type,#,fr,zh
passage,,"Pour un anniversaire, on chante ensemble et on fait des vœux. On souhaite le bonheur, la santé et une belle année. On apporte un gâteau, on allume les bougies, puis on dit : joyeux anniversaire !",过生日时我们一起唱歌并许愿。我们祝福幸福、健康和美好的一年。我们带来蛋糕、点上蜡烛，然后说：生日快乐！
sentence,1,Joyeux anniversaire !,生日快乐！
sentence,2,Bon anniversaire !,生日快乐！（常用）
sentence,3,Je te souhaite beaucoup de bonheur.,祝你非常幸福。
sentence,4,Je te souhaite une bonne santé.,祝你身体健康。
sentence,5,Je te souhaite une belle année.,祝你新的一年美好。
sentence,6,Profite bien de ta journée !,好好享受你的一天！
sentence,7,On chante tous ensemble.,我们大家一起唱。
sentence,8,On mange du gâteau.,我们吃蛋糕。
sentence,9,On allume les bougies.,我们点燃蜡烛。
sentence,10,Merci !,谢谢！
vocab,1,un anniversaire,生日
vocab,2,une chanson,歌曲
vocab,3,un vœu,愿望；祝愿
vocab,4,le bonheur,幸福
vocab,5,la santé,健康
vocab,6,une année,一年
vocab,7,un gâteau,蛋糕
vocab,8,une bougie,蜡烛
vocab,9,un cadeau,礼物
vocab,10,une fête,庆祝；聚会
vocab,11,une surprise,惊喜
vocab,12,une journée,一天
vocab,13,chanter,唱歌
vocab,14,souhaiter,祝愿
vocab,15,faire,做
vocab,16,allumer,点燃
vocab,17,manger,吃
vocab,18,profiter,享受
