type,#,fr,zh
passage,,"Ô Canada est un chant symbolique. On y parle de la patrie, de l’histoire, de la fierté et du courage. Cette leçon te fait pratiquer des phrases courtes pour prononcer clairement et comprendre le vocabulaire de l’hymne.",《Ô Canada》是一首具有象征意义的歌曲。内容涉及祖国、历史、自豪与勇气。本课用短句帮助你练发音并理解国歌常用词汇。
sentence,1,Ô Canada !,噢，加拿大！
sentence,2,C’est notre hymne national.,这是我们的国歌。
sentence,3,Je suis fier / fière de mon pays.,我为我的国家感到自豪。
sentence,4,Notre histoire est importante.,我们的历史很重要。
sentence,5,On protège notre terre.,我们保护我们的土地。
sentence,6,On reste unis.,我们保持团结。
sentence,7,Je respecte notre drapeau.,我尊重我们的国旗。
sentence,8,Je chante avec la classe.,我和同学一起唱。
sentence,9,La liberté compte beaucoup.,自由非常重要。
sentence,10,"Ensemble, on avance.",我们一起向前。
vocab,1,le Canada,加拿大
vocab,2,un hymne,颂歌；国歌
vocab,3,la patrie,祖国
vocab,4,un pays,国家
vocab,5,la terre,土地；大地
vocab,6,l’histoire,历史
vocab,7,la fierté,自豪
vocab,8,le courage,勇气
vocab,9,la liberté,自由
vocab,10,le drapeau,国旗
vocab,11,un symbole,象征
vocab,12,une voix,声音
vocab,13,un vers,诗句（歌词的一行）
vocab,14,une nation,民族；国家
vocab,15,une valeur,价值观
vocab,16,chanter,唱
vocab,17,protéger,保护
vocab,18,respecter,尊重
vocab,19,rester,保持；停留
vocab,20,avancer,前进
vocab,21,unir,团结；联合
