type,#,fr,zh
passage,,"Noël est une fête très populaire et souvent familiale. On décore un sapin et on partage un repas. La bûche est un dessert traditionnel. On s’offre des cadeaux et on suit aussi des traditions comme le calendrier de l’Avent. Pour beaucoup, Noël est un moment chaleureux à vivre ensemble.",圣诞节很受欢迎，常常是家庭节日。人们装饰圣诞树并一起吃饭。圣诞柴是传统甜点。大家互赠礼物，也会使用降临节日历等习俗。对很多人来说，这是一个温暖的团聚时刻。
sentence,1,Noël est une fête très populaire.,圣诞节是一项很受欢迎的节日。
sentence,2,"Pour beaucoup, Noël est une fête de famille.",对很多人来说，圣诞节是家庭节日。
sentence,3,"À Noël, on décore un sapin.",圣诞节人们会装饰圣诞树。
sentence,4,On partage un repas en famille.,我们与家人一起吃饭。
sentence,5,La bûche est un dessert traditionnel.,圣诞柴是传统甜点。
sentence,6,On s’offre des cadeaux.,人们互赠礼物。
sentence,7,On utilise un calendrier de l’Avent.,人们会用降临节日历。
sentence,8,Les traditions de Noël sont nombreuses.,圣诞传统很多。
vocab,1,Noël,圣诞节
vocab,2,la fête,节日
vocab,3,la famille,家庭
vocab,4,le sapin,圣诞树
vocab,5,la bûche,圣诞柴（甜点）
vocab,6,un dessert,甜点
vocab,7,un cadeau,礼物
vocab,8,le calendrier de l’Avent,降临节日历
vocab,9,une tradition,传统
vocab,10,un repas,一餐
vocab,11,décorer,装饰
vocab,12,partager,分享
vocab,13,offrir,赠送
vocab,14,utiliser,使用
